입력코드,항목명,항목분류내용,처리코드,포함항목,제외항목,출처
1365,과일가공품,,,단순히 건조시킨 바나나칩,,조사사례집
1592,한과 및 기타과자,,,말려서 설탕을 입히고 유탕처리한 바나나칩,,조사사례집
1810,와인 및 과일주,,,써머스비,,조사사례집
1820,맥주,,,망고링고,,조사사례집
1850,기타주류,,,타이거라들러,,조사사례집
1850,기타주류,,,예거라들러,,조사사례집
5310,노래방 이용,,,노래방맥주,,조사사례집
1800,소주,,,소주공병비,,조사사례집
2222,실류 및 기타의복관련품,,,허리보호대,,조사사례집
2222,실류 및 기타의복관련품,,,산후복대,,조사사례집
2222,실류 및 기타의복관련품,,,산모복대,,조사사례집
2222,실류 및 기타의복관련품,,,다이어트복대,,조사사례집
4060,보건의료소모품,,,허리보호대,,조사사례집
4090,기타보건의료기구,,,허리보호대,,조사사례집
5240,운동용품,,,허리보호대,,조사사례집
2222,기타의복관련품,,,옷수선패치,,조사사례집
2255,운동화,,,운동화수선패치,,조사사례집
2012,남성용 외의,,,야구유니폼(응원용),,조사사례집
2014,여성용 외의,,,야구유니폼(응원용),,조사사례집
2085,직물 및 기타외의,,,환자복,,조사사례집
2725,수선재료,,,주방용가스호스줄,,조사사례집
2770,설비수리서비스,,,중문설치비,,조사사례집
9990,자산이전지출,,,아랫집수리비,,조사사례집
2860,일반관리비,,,"아파트헬스장관리비, 헬스장시설관리비 등의 명목으로 전 세대에 일정 소액을 부과하는 관리비",,조사사례집
3390,기타가정용기기,,,탄산수제조기,,조사사례집
3510,가정용기기 및 가전서비스,,,탄산가스충전,,조사사례집
3890,기타가사소모품,,,자외선살균램프(살균 램프만 구입한 경우),,조사사례집
3390,가정용기기,,,"자외선살균램프(살균램프 + 관련 어댑터, 스위치 등 포함된 경우)",,조사사례집
3890,기타가사소모품,,,달걀판,,조사사례집
3790,가사용품,,,주방저울(비전기),,조사사례집
3390,가정용기기,,,주방저울(전기),,조사사례집
3390,가정용기기,,,주방저울(배터리),,조사사례집
3790,기타소형공구 및 가사용품,,,원예용 알루미늄 약통,,조사사례집
3790,기타소형공구 및 가사용품,,,바람주입식 간이욕조,,조사사례집
3790,기타소형공구 및 가사용품,,,선 정리용 케이블,,조사사례집
3790,기타소형공구 및 가사용품,,,예초기 사용 시 안면보호대,,조사사례집
3790,기타소형공구 및 가사용품,,,드라이기 거치대,,조사사례집
3790,기타소형공구 및 가사용품,,,아크릴가림막,,조사사례집
3790,기타소형공구 및 가사용품,,,아크릴칸막이,,조사사례집
3790,기타소형공구 및 가사용품,,,마당차양막,,조사사례집
3790,기타소형공구 및 가사용품,,,봉걸레걸이,,조사사례집
3790,기타소형공구 및 가사용품,,,침대토퍼스트랩,,조사사례집
3790,기타소형공구 및 가사용품,,,접착행거,,조사사례집
3790,기타소형공구 및 가사용품,,,미니원형행거,,조사사례집
3790,기타소형공구 및 가사용품,,,클리어서랍장,,조사사례집
3790,기타소형공구 및 가사용품,,,보온·보냉가방,,조사사례집
3790,기타소형공구 및 가사용품,,,직물 미포함 방석,,조사사례집
3790,기타소형공구 및 가사용품,,,실리콘(벌집)방석,,조사사례집
3790,기타소형공구 및 가사용품,,,후크타입 양파보관망,,조사사례집
3790,기타소형공구 및 가사용품,,,고무줄끼우개,,조사사례집
3790,기타소형공구 및 가사용품,,,투명아크릴케이스,,조사사례집
3790,기타소형공구 및 가사용품,,,흡착식코너선반,,조사사례집
3790,기타소형공구 및 가사용품,,,"옷, 이불 보관용 메탈 와이어(패브릭)",,조사사례집
3790,기타소형공구 및 가사용품,,,변기손잡이,,조사사례집
3790,기타소형공구 및 가사용품,,,접이식바구니,,조사사례집
3790,기타소형공구 및 가사용품,,,벽걸이포켓수납,,조사사례집
3790,기타소형공구 및 가사용품,,,탄화수납박스,,조사사례집
3790,기타소형공구 및 가사용품,,,크랙코팅직사각틴케이스,,조사사례집
3790,기타소형공구 및 가사용품,,,주방다용도칸막이,,조사사례집
3790,기타소형공구 및 가사용품,,,넉가래(눈치우는 삽),,조사사례집
3790,기타소형공구 및 가사용품,,,웨건,,조사사례집
3790,기타소형공구 및 가사용품,,,오거나이저,,조사사례집
3790,기타소형공구 및 가사용품,,,히트킷,,조사사례집
3790,기타소형공구 및 가사용품,,,웨건커버,,조사사례집
3790,기타소형공구 및 가사용품,,,물호스 조이는 호스밴드,,조사사례집
3790,기타소형공구 및 가사용품,,,휴대용소변기,,조사사례집
3790,기타소형공구 및 가사용품,,,단선방지캡(선정리캡),,조사사례집
3790,기타소형공구 및 가사용품,,,단선방지용 핸드폰충전기줄 보호캡,,조사사례집
3790,기타소형공구 및 가사용품,,,일반소품정리함(종이 외),,조사사례집
3890,기타가사소모품,,,종이소품정리함,,조사사례집
3790,기타소형공구 및 가사용품,,,"책상 다목적용(핸드폰, 태블릿 등) 거치대(충전기능 없음)",,조사사례집
3390,기타가정용기기,,,"책상 다목적용(핸드폰, 태블릿 등) 거치대(충전기능 있음)",,조사사례집
4930,이동전화기기,,,책상 핸드폰 전용 거치대(충전기능 있음),,조사사례집
3790,가사용품,,,마늘망,,조사사례집
3790,가사용품,,,양파망,,조사사례집
3790,가사용품,,,야채보관망,,조사사례집
3790,가사용품,,,열쇠복사,,조사사례집
3790,가사용품,,,페그보드,,조사사례집
3790,가사용품,,,타공판,,조사사례집
3840,주방 및 청소용 세제,,,싱크캡 세정제,,조사사례집
3840,주방 및 청소용 세제,,,식기세척용 전용 소금,,조사사례집
3840,주방 및 청소용 세제,,,커피머신 청소용캡슐,,조사사례집
4705,차량부품 및 운송기구 관련용품,,,차량용 접착제 제거제,,조사사례집
3840,주방 및 청소용 세제,,,일반 접착제 제거제,,조사사례집
3940,개인 가사사용인 급료,,,나무방재비,,조사사례집
3950,업체 가사서비스 이용료,,,나무방재비,,조사사례집
3950,업체 가사서비스 이용료,,,노인가족요양보호 재가서비스 본인부담금,,조사사례집
3940,개인 가사사용인 급료,,,비농가 텃발 인건비,,조사사례집
3950,업체 가사서비스 이용료,,,비농가 텃발 인건비,,조사사례집
3940,개인 가사사용인 급료,,,비농가 닭장제조 인건비,,조사사례집
3950,업체 가사서비스 이용료,,,비농가 닭장제조 인건비,,조사사례집
3950,업체 가사서비스 이용료,,,식판세척서비스,,조사사례집
3950,업체 가사서비스 이용료,,,식판대여서비스,,조사사례집
3120,기타실내장식품,,,LED눈송이,,조사사례집
3120,기타실내장식품,,,트리전구,,조사사례집
3120,기타실내장식품,,,천으로 된 산타선물주머니,,조사사례집
3120,기타실내장식품,,,현관종,,조사사례집
3120,기타실내장식품,,,포토카드스탠드액자,,조사사례집
3210,침구류,,,"이불, 요 등 취침 시 이용하는 제품 및 제품의 재료",,조사사례집
3210,침구류,,,베개충전재용 메밀껍질,,조사사례집
3290,가정용섬유관련 서비스,,,"수선, 세탁 등 관련 서비스",,조사사례집
3290,가정용섬유관련 서비스,,,커튼 수선비,,조사사례집
3690,기타주방용품,,,기름 튀김 방지 커버,,조사사례집
3690,기타주방용품,,,싱크대물받이,,조사사례집
3690,기타주방용품,,,쿠킹타이머,,조사사례집
3690,기타주방용품,,,식탁용 테이블매트,,조사사례집
3810,세탁용 세제,,,섬유제품의 때를 깨끗이 씻어내기 위한 것,,조사사례집
3810,세탁용 세제,,,건조기 드라이시트,,조사사례집
3810,세탁용 세제,,,고체형태 얼룩제거제,,조사사례집
3810,세탁용 세제,,,싹스틱,,조사사례집
3820,세탁·청소용구,,,"세탁, 청소 등 가사에 필요한 준내구재",,조사사례집
3820,세탁·청소용구,,,뜨개질을 하여 파는 수세미,,조사사례집
3820,세탁·청소용구,,,에어팟 청소키트,,조사사례집
3820,세탁·청소용구,,,건조기용양모볼,,조사사례집
3890,기타가사소모품,,,가계용 예초기 휘발유,,조사사례집
3890,기타가사소모품,,,폐식용유(비누제작용),,조사사례집
3890,기타가사소모품,,,접착식 메탈타일,,조사사례집
3890,기타가사소모품,,,셀프 블라인드(접이식 종이가리개),,조사사례집
3890,기타가사소모품,,,열접착식테이프,,조사사례집
3890,기타가사소모품,,,리폼용시트지,,조사사례집
3890,기타가사소모품,,,청소티슈,,조사사례집
3890,기타가사소모품,,,청소용물티슈,,조사사례집
3890,기타가사소모품,,,청소포,,조사사례집
3890,기타가사소모품,,,하수구망,,조사사례집
3890,기타가사소모품,,,예초기용 엔진오일,,조사사례집
3890,기타가사소모품,,,렌지후드 필터(부직포),,조사사례집
3890,기타가사소모품,,,제설용 염화칼슘(가정용),,조사사례집
3890,기타가사소모품,,,주방용알루미늄시트지,,조사사례집
3890,기타가사소모품,,,소품정리함(종이),,조사사례집
3890,기타가사소모품,,,대리석무늬시트지,,조사사례집
3890,기타가사소모품,,,리폼용 바닥타일 대리석무늬,,조사사례집
3020,장식장,,,TV스탠드,,조사사례집
4995,텔레비전,,,TV스탠드(TV전용 부품),,조사사례집
3050,조명기구,,,스탠드등 리모컨,,조사사례집
3830,전구,,,리모컨키트(스마트전구+리모컨),,조사사례집
3830,전구,,,살균전구,,조사사례집
3830,전구,,,살균램프,,조사사례집
3690,기타주방용품,,,곶감걸이,,조사사례집
3210,침구류,,,방수용 침대비닐시트,,조사사례집
3210,침구류,,,방수용 침대비닐커버,,조사사례집
3315,냉장고,,,냉장고서랍,,조사사례집
3315,냉장고,,,냉장고부품,,조사사례집
3330,에어컨 및 선풍기,,,에어컨 실외기,,조사사례집
3330,에어컨 및 선풍기,,,에어컨 실외기 받침대,,조사사례집
3345,세탁기,,,세탁기 받침대,,조사사례집
3345,세탁기,,,세탁기 연결 호스,,조사사례집
3335,난로 및 온풍기,,,에탄올난로,,조사사례집
3345,세탁기,,,의류 스타일러,,조사사례집
3660,칼 및 수저류,,,주방용칼 가는 삯,,조사사례집
3690,기타주방용품,,,실리콘냄비손잡이,,조사사례집
3635,솥과냄비,,,냄비손잡이,,조사사례집
3690,기타주방용품,,,화덕,,조사사례집
3635,솥과냄비,,,칼로볼 저당밥솥,,조사사례집
3095,기타가구,,,냉장고장,,조사사례집
3720,설비관련기구,,,설치형 자동빨래건조대,,조사사례집
3730,건전지,,,다용도 보조배터리,,조사사례집
3335,난로 및 온풍기,,,전자핫팩,,조사사례집
3335,난로 및 온풍기,,,충전식손난로,,조사사례집
2725,수선재료,,,소변기(설치식),,조사사례집
3790,가사용품,,,소변기(이동식),,조사사례집
3790,가사용품,,,소변기(간편),,조사사례집
4060,보건의료소모품,,,보건 및 의료용 소모품,,조사사례집
4060,보건의료소모품,,,코로나 자가진단키트,,조사사례집
4110,일반병원외래비,,,입원하지 않은 환자가 일반 병의원의 의사에게 받는 의료서비스,,조사사례집
4110,일반병원외래비,,,코로나 검사비용,,조사사례집
4020,판매양약,,,여드름 연고,,조사사례집
4060,보건의료소모품,,,여드름 패치,,조사사례집
4090,기타보건의료기구,,,여드름 압출기,,조사사례집
4090,기타보건의료기구,,,여드름 제거기,,조사사례집
4060,보건의료소모품,,,의료용 압박스타킹,,조사사례집
2205,양말 및 스타킹,,,일반 압박스타킹,,조사사례집
4200,병원입원치료비,,,병원입원비식대,,조사사례집
4060,보건의료소모품,,,수술보,,조사사례집
4200,병원입원치료비,,,수술보,,조사사례집
4090,기타보건의료기구,,,실버카,,조사사례집
4090,기타보건의료기구,,,보행보조차,,조사사례집
4610,오토바이,,,노인자동차,,조사사례집
4090,기타보건의료기구,,,의족캡,,조사사례집
4110,일반병의원외래비,,,재활병원,,조사사례집
4140,기타보건의료 서비스,,,재활원,,조사사례집
4130,치과외래비,,,임플란트 비용,,조사사례집
5490,국외여행비,,,의료관광,,조사사례집
4140,기타보건의료 서비스,,,언어치료,,조사사례집
4140,기타보건의료 서비스,,,놀이치료,,조사사례집
4140,기타보건의료 서비스,,,음악치료,,조사사례집
4140,기타보건의료 서비스,,,미술치료,,조사사례집
4140,기타보건의료 서비스,,,발달장애센터,,조사사례집
4140,기타보건의료 서비스,,,렌즈세척서비스,,조사사례집
4140,기타보건의료 서비스,,,당뇨환자교육비,,조사사례집
4770,개인운송장비 임차,,,리스대금,,조사사례집
4770,개인운송장비 임차,,,리스비용,,조사사례집
4599,중고차구입대금,,,리스선수금,,조사사례집
5130,오락문화내구재서비스,,,전동킥보드 대여금,,조사사례집
4770,개인운송장비 임차,,,전동킥보드 대여금,,조사사례집
4770,개인운송장비 임차,,,내비게이션 렌탈비,,조사사례집
4610,오토바이,,,4륜 오토바이,,조사사례집
4610,오토바이,,,사륜 오토바이,,조사사례집
4610,오토바이,,,ATV,,조사사례집
4610,오토바이,,,노인전동차,,조사사례집
4705,차량부품 및 운송기구 관련용품,,,노인전동차 배터리,,조사사례집
4710,유지 및 수리비,,,요소수,,조사사례집
4705,차량관련용품,,,타이어 구입비,,조사사례집
4710,유지 및 수리비,,,타이어 교체 비용,,조사사례집
4710,유지 및 수리비,,,차량배터리 교체 비용,,조사사례집
4705,차량부품 및 운송기구 관련용품,,,세차폼건,,조사사례집
4705,차량부품 및 운송기구 관련용품,,,차량용 세차툴백,,조사사례집
4705,차량부품 및 운송기구 관련용품,,,트렁크정리함,,조사사례집
4705,차량부품 및 운송기구 관련용품,,,캠핑카 차량용 콘센트,,조사사례집
4705,차량부품 및 운송기구 관련용품,,,카시트,,조사사례집
4710,유지 및 수리비,,,카시트 세탁료,,조사사례집
4710,유지 및 수리비,,,자동차견인료,,조사사례집
4890,일반화물운송 및 보관,,,자동차견인료,,조사사례집
4890,일반화물운송,,,요기패스,,조사사례집
4890,일반화물운송,,,배달무료서비스,,조사사례집
4890,일반화물운송,,,배민클럽,,조사사례집
4710,유지 및 수리비,,,매연저감장치 설치비,,조사사례집
9990,자산이전지출,,,교통사고 본인부담금,,조사사례집
4110,일반병의원외래비,,,교통사고 본인부담금,,조사사례집
4200,병원입원치료비,,,교통사고 본인부담금,,조사사례집
4710,자동차수리비,,,교통사고 본인부담금,,조사사례집
4705,차량부품 및 운송기구 관련용품,,,전기자전거 배터리,,조사사례집
4760,주차료,,,공유부지사용료,,조사사례집
4760,주차료,,,공유부지충당금,,조사사례집
4790,기타개인교통,,,블루링크,,조사사례집
4790,기타개인교통,,,HMG드라이빙 익스피리언스 센터(운전체험),,조사사례집
4790,기타개인교통,,,우보,,조사사례집
4790,기타개인교통,,,우리오토플러스,,조사사례집
4790,기타개인교통,,,자동차관리서비스,,조사사례집
4790,기타개인교통,,,자동차번호판,,조사사례집
4790,기타개인교통,,,오토바이번호판,,조사사례집
8610,일반수수료,,,자동차번호판,,조사사례집
8610,일반수수료,,,오토바이번호판,,조사사례집
4790,기타개인교통,,,카풀(정기적),,조사사례집
9170,교제비,,,카풀(간헐적),,조사사례집
4790,기타개인교통,,,렌터카 승계수수료,,조사사례집
4790,기타개인교통,,,신차등록 저당권해지비용,,조사사례집
4790,기타개인교통,,,운전면허적성검사비,,조사사례집
4790,기타개인교통,,,BMW워런티,,조사사례집
4830,시내버스,,,통학봉고차,,조사사례집
4850,택시비,,,장애인지원차량,,조사사례집
4850,택시비,,,나드리콜,,조사사례집
8725,팁 및 기타서비스,,,버스기사팁,,조사사례집
4890,일반화물운송 및 보관,,,자동차운반비,,조사사례집
4890,일반화물운송 및 보관,,,송달,,조사사례집
5365,기타문화서비스,,,창고임차료,,조사사례집
4890,일반화물운송 및 보관,,,창고임차료,,조사사례집
4890,일반화물 운송 및 보관,,,창고사용료,,조사사례집
4890,일반화물 운송비용 및 보관,,,산소잔디운반비,,조사사례집
4930,이동전화기기,,,내맘대로폰교체,,조사사례집
4930,이동전화기기,,,핸드폰 전용 거치대(충전겸용),,조사사례집
4705,차량부품 및 운송기구 관련용품,,,차량용 거치대,,조사사례집
3790,기타가사용품,,,일반거치대(다목적 거치대),,조사사례집
8610,일반수수료,,,공인인증서 발급 비용,,조사사례집
8725,기타서비스,,,스마트피싱보호서비스,,조사사례집
8725,기타서비스,,,스마트안티피싱서비스,,조사사례집
5029,기타정보서비스,,,개인정보보호시비스,,조사사례집
5029,기타정보서비스,,,114안내,,조사사례집
4990,기타통신관련비용,,,인증서휴대폰저장,,조사사례집
4990,기타통신관련비용,,,휴대폰도용방지,,조사사례집
4990,기타통신관련비용,,,휴대폰안심결제,,조사사례집
4990,기타통신관련비용,,,로그인플러스,,조사사례집
4990,기타통신관련비용,,,PASS앱,,조사사례집
4990,기타통신관련비용,,,패스앱,,조사사례집
4990,기타통신관련비용,,,MyOTP,,조사사례집
4990,기타통신관련비용,,,마이오티피,,조사사례집
4990,기타통신관련비용,,,단체문자서비스,,조사사례집
4990,기타통신관련비용,,,휴대폰번호보호서비스,,조사사례집
4990,기타통신관련비용,,,스마트인증서서비스,,조사사례집
4990,기타통신관련비용,,,간편결제매니저,,조사사례집
4990,기타통신관련비용,,,문자알림서비스,,조사사례집
5025,일반 소프트웨어,,,챗GPT 구독료,,조사사례집
5025,일반 소프트웨어,,,챗지피티 구독료,,조사사례집
5025,일반 소프트웨어,,,ChatGPT 구독료,,조사사례집
9445,기부금,,,700콘텐츠이용후원금,,조사사례집
4990,기타통신관련 비용,,,무선국수수료,,조사사례집
8725,기타서비스,,,핸드폰튜닝서비스,,조사사례집
4990,기타통신관련 비용,,,주파수튜닝,,조사사례집
4990,기타통신서비스,,,모바일 통신발송수수료,,조사사례집
8130,장신구,,,태블릿액정보호필름,,조사사례집
8130,장신구,,,태블릿보호케이스,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,인터넷TV 이용료,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,IPTV 이용료,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,시청각 콘텐츠 스트리밍 이용료,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,유튜브,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,넷플릭스,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,티빙,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,웨이브,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,왓챠,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,디즈니플러스,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,인터넷방송,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,트위치,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,치지직,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,U+모바일 VOD월정액,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,유플러스모바일 VOD월정액,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,멜론,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,지니뮤직,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,FLO,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,플로,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,벅스뮤직,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,애플뮤직,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,VIBE,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,바이브,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,KT 스마트홈 키봇 서비스 이용료,,조사사례집
5018,시청각 콘텐츠 및 스트리밍,,,스마트홈 키봇 단말기대금,,조사사례집
5023,방송수신료,,,유선이전설치비,,조사사례집
5023,방송수신료,,,위성방송 가입비,,조사사례집
5023,방송수신료,,,케이블방송 가입비,,조사사례집
5023,방송수신료,,,방송수신신청비,,조사사례집
5023,방송수신료,,,방송수신설치비,,조사사례집
5023,방송수신료,,,방송수신해지위약금,,조사사례집
5025,일반 소프트웨어,,,소프트웨어 구독 및 구입,,조사사례집
5025,일반 소프트웨어,,,백신프로그램,,조사사례집
5025,일반 소프트웨어,,,V3,,조사사례집
5025,일반 소프트웨어,,,한글,,조사사례집
5025,일반 소프트웨어,,,MS오피스,,조사사례집
5025,일반 소프트웨어,,,디자인 프로그램,,조사사례집
5025,일반 소프트웨어,,,편집 프로그램,,조사사례집
5025,일반 소프트웨어,,,포토샵,,조사사례집
5025,일반 소프트웨어,,,베가스,,조사사례집
5025,일반 소프트웨어,,,프리미어,,조사사례집
5005,정보처리기기,,,학습지 태블릿기기 요금,,조사사례집
9580,보증금 제공,,,중고폰 가격보장,,조사사례집
5221,일반장난감,,,일반킥보드벨,,조사사례집
5110,오락 및 운동내구재,,,전동킥보드벨,,조사사례집
5030,사진및광학장비,,,핸드폰인화기,,조사사례집
5030,사진및광학장비,,,사진인화기,,조사사례집
5120,악기,,,전기악기보관함,,조사사례집
5130,오락문화내구재서비스,,,바이올린 송진 구입비,,조사사례집
5130,오락문화내구재서비스,,,캠핑카대여,,조사사례집
5130,오락문화내구재서비스,,,낚시배대여,,조사사례집
5130,오락문화내구재서비스,,,요트 임차,,조사사례집
5130,오락문화내구재서비스,,,피아노 수리,,조사사례집
5130,오락문화내구재서비스,,,캠핑카개조 부품,,조사사례집
5130,오락문화내구재서비스,,,서핑보드대여료,,조사사례집
5211,영상게임기,,,닌텐도,,조사사례집
5211,영상게임기,,,플레이스테이션,,조사사례집
5211,영상게임기,,,XBOX(엑스박스),,조사사례집
5221,일반장난감,,,슬라임,,조사사례집
5221,일반장난감,,,액체괴물,,조사사례집
5221,일반장난감,,,슬라임글리세린,,조사사례집
5221,일반장난감,,,슬라임액티베이터,,조사사례집
5221,일반장난감,,,이지드로잉 3D펜,,조사사례집
5221,일반장난감,,,리필용 필라멘트,,조사사례집
5221,일반장난감,,,워터스케치북,,조사사례집
5221,일반장난감,,,로봇부품,,조사사례집
5221,일반장난감,,,연날리기 키트,,조사사례집
5221,일반장난감,,,어린이 만들기 재료 키트,,조사사례집
5221,일반장난감,,,탱탱볼,,조사사례집
5221,일반장난감,,,실내 유아 볼풀장,,조사사례집
5221,일반장난감,,,생일초,,조사사례집
5221,일반장난감,,,생일 폭죽,,조사사례집
5221,일반장난감,,,생일모자,,조사사례집
5221,일반장난감,,,오락용 드론,,조사사례집
5221,일반장난감,,,불멍가루,,조사사례집
5221,일반장난감,,,시크릿보석 화장 완구,,조사사례집
5221,일반장난감,,,실리콘테이프,,조사사례집
2725,수선재료,,,실리콘테이프,,조사사례집
5221,일반장난감,,,캐릭터스티커,,조사사례집
5455,기타문구류,,,문구스티커,,조사사례집
5455,기타문구류,,,다이어리스티커,,조사사례집
5407,참고서 및 학습교재,,,학습용스티커북,,조사사례집
3120,기타실내장식품,,,장식용스티커,,조사사례집
8130,장신구,,,핸드폰스티커,,조사사례집
5222,취미용품,,,핼러윈의상세트,,조사사례집
5221,일반장난감,,,추억의뽑기판,,조사사례집
5221,일반장난감,,,효또,,조사사례집
5221,일반장난감,,,아기그림자극장세트,,조사사례집
5222,취미용품,,,한지등만들기,,조사사례집
5222,취미용품,,,신생아 손발모형과 탯줄 도장,,조사사례집
5230,등산낚시사냥용품,,,스탠리워터저그(캠핑용 대용량 물통),,조사사례집
5230,등산낚시사냥용품,,,바람개비 스피너,,조사사례집
5230,등산낚시사냥용품,,,차박평탄화보드,,조사사례집
5230,등산낚시사냥용품,,,낚시전용 구명조끼,,조사사례집
5240,운동용품,,,그립테이프,,조사사례집
5240,운동용품,,,골프채클리너,,조사사례집
5250,캠핑및운동용품서비스,,,워터파크 이용 시 구명조끼 대여료,,조사사례집
5250,캠핑및운동용품서비스,,,캠핑장에서 대여한 히터 비용,,조사사례집
5250,캠핑및운동용품서비스,,,캠핑장에서 대여한 바비큐 장비 렌탈료,,조사사례집
3290,가정용섬유 관련 서비스,,,수건대여,,조사사례집
2240,기타의복 관련 서비스,,,수영복대여,,조사사례집
5240,운동용품,,,골키퍼장갑,,조사사례집
5260,화훼및원예용품,,,수경재배기,,조사사례집
5260,화훼및원예용품,,,콩나물재배키트,,조사사례집
5260,화훼및원예용품,,,실내텃밭세트,,조사사례집
5260,화훼및원예용품,,,농사용방석,,조사사례집
5260,화훼및원예용품,,,농약,,조사사례집
5260,화훼및원예용품,,,울타리망,,조사사례집
5260,화훼및원예용품,,,꽃,,조사사례집
5260,화훼및원예용품,,,화분이름표,,조사사례집
5260,화훼및원예용품,,,마리모 키우기 DIY 세트,,조사사례집
5265,반려동물,,,"부화용 종란, 개, 염소, 닭",,조사사례집
